"county","state","year","latitude","longitude","patent_count"
"ABBEVILLE","SC",2012,34.0923,-82.5957,2
"ABBEVILLE","SC",2012,34.1782,-82.379,1
"ABBEVILLE","SC",2012,34.3771,-82.3473,2
"ACADIA","LA",2012,30.2141,-92.3746,32
"ACADIA","LA",2012,30.2227,-92.2698,1
"ACADIA","LA",2012,30.2349,-92.2685,8
"ACADIA","LA",2012,30.403,-92.2151,3
"ACCOMACK","VA",2012,37.6043,-75.6897,1
"ACCOMACK","VA",2012,37.7102,-75.7528,1
"ACCOMACK","VA",2012,37.7118,-75.7491,1
"ACCOMACK","VA",2012,37.8815,-75.4374,1
"ADA","ID",2012,43.4918,-116.42,52
"ADA","ID",2012,43.5517,-116.299,4
"ADA","ID",2012,43.5644,-116.403,4
"ADA","ID",2012,43.5921,-116.193,9
"ADA","ID",2012,43.6121,-116.392,1
"ADA","ID",2012,43.6147,-116.392,1
"ADA","ID",2012,43.6187,-116.215,3363
"ADA","ID",2012,43.6221,-116.435,1
"ADA","ID",2012,43.6321,-116.286,2
"ADA","ID",2012,43.6361,-116.329,2
"ADA","ID",2012,43.6479,-116.278,1
"ADA","ID",2012,43.6585,-116.323,2
"ADA","ID",2012,43.66,-116.33,42
"ADA","ID",2012,43.6609,-116.324,1
"ADA","ID",2012,43.6623,-116.347,1
"ADA","ID",2012,43.6624,-116.163,3
"ADA","ID",2012,43.667,-116.392,1
"ADA","ID",2012,43.6921,-116.493,1
"ADA","ID",2012,43.6954,-116.354,4
"ADA","ID",2012,43.7235,-116.269,15
"ADAIR","IA",2012,41.3543,-94.2766,2
"ADAIR","KY",2012,36.9618,-85.2809,20
"ADAIR","MO",2012,40.1948,-92.5833,16
"ADAIR","OK",2012,35.6827,-94.7609,1
"ADAIR","OK",2012,35.8145,-94.6286,24
"ADAMS","CO",2012,39.7435,-104.608,2
"ADAMS","CO",2012,39.7503,-104.837,3
"ADAMS","CO",2012,39.7589,-104.427,13
"ADAMS","CO",2012,39.7966,-103.942,5
"ADAMS","CO",2012,39.8043,-105.021,1
"ADAMS","CO",2012,39.8083,-104.934,27
"ADAMS","CO",2012,39.8119,-105.048,2
"ADAMS","CO",2012,39.8213,-104.919,1
"ADAMS","CO",2012,39.8367,-105.037,36
"ADAMS","CO",2012,39.8398,-104.193,12
"ADAMS","CO",2012,39.8666,-104.775,1
"ADAMS","CO",2012,39.868,-104.972,323
"ADAMS","CO",2012,39.8775,-105.038,5
"ADAMS","CO",2012,39.8825,-105.033,2
"ADAMS","CO",2012,39.8838,-105.029,1
"ADAMS","CO",2012,39.8913,-105.04,1
"ADAMS","CO",2012,39.8962,-104.981,39
"ADAMS","CO",2012,39.8998,-104.945,2
"ADAMS","CO",2012,39.903,-105.052,1
"ADAMS","CO",2012,39.9122,-105.003,8
"ADAMS","CO",2012,39.9312,-104.974,2
"ADAMS","CO",2012,39.9328,-105.013,1
"ADAMS","CO",2012,39.9351,-104.979,2
"ADAMS","CO",2012,39.9477,-104.934,1
"ADAMS","CO",2012,39.969,-104.916,3
"ADAMS","CO",2012,39.9727,-104.81,2
"ADAMS","CO",2012,39.9745,-104.835,1
"ADAMS","CO",2012,39.9853,-104.821,1
"ADAMS","IL",2012,39.9343,-91.407,1
"ADAMS","IL",2012,40.1478,-91.0029,1
"ADAMS","IN",2012,40.6147,-84.9086,23
"ADAMS","IN",2012,40.6578,-84.9519,21
"ADAMS","MS",2012,31.5604,-91.4032,5
"ADAMS","ND",2012,46.0014,-102.637,1
"ADAMS","NE",2012,40.5751,-98.6803,4
"ADAMS","NE",2012,40.5863,-98.3899,220
"ADAMS","PA",2012,39.7445,-77.088,7
"ADAMS","PA",2012,39.7873,-77.3686,1
"ADAMS","PA",2012,39.8073,-77.0114,1
"ADAMS","PA",2012,39.8239,-77.2299,1
"ADAMS","PA",2012,39.8309,-77.2311,27
"ADAMS","PA",2012,39.8451,-77.3608,5
"ADAMS","PA",2012,39.8637,-77.0558,8
"ADAMS","PA",2012,39.8689,-77.022,1
"ADAMS","PA",2012,39.8865,-76.9847,2
"ADAMS","PA",2012,39.888,-77.3583,1
"ADAMS","PA",2012,39.9304,-77.248,1
"ADAMS","PA",2012,39.9371,-76.9813,3
"ADAMS","PA",2012,39.9376,-76.9786,14
"ADAMS","PA",2012,39.9772,-77.2251,1
"ADAMS","PA",2012,39.9791,-77.3772,1
"ADAMS","WA",2012,46.8039,-119.263,2
